data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,sort
0.031885,-0.37243,-0.038474,0.0005142,-0.0011028,-7.70E-05,-0.04076,-0.20593,0.15834,-0.01413,-0.020209,-0.0017766,6
0.056864,-0.36819,-0.034433,0.00051815,-0.0010941,-7.74E-05,-0.06011,-0.20538,0.15901,-0.014334,-0.020297,-0.0017918,6
0.070267,-0.37368,-0.039738,0.00048874,-0.0011056,-7.74E-05,-0.05861,-0.20349,0.15803,-0.014414,-0.020304,-0.0017865,6
0.031884,-0.37007,-0.037272,0.00052043,-0.0011643,-7.67E-05,-0.040759,-0.20578,0.16138,-0.014216,-0.020199,-0.0017604,6
0.056864,-0.37297,-0.045636,0.00051311,-0.0010799,-7.76E-05,-0.060106,-0.20353,0.1591,-0.014459,-0.020332,-0.001795,6
0.056862,-0.36761,-0.037109,0.00051079,-0.0010571,-7.77E-05,-0.060105,-0.19971,0.15744,-0.014439,-0.020343,-0.0018029,6
0.056863,-0.36954,-0.035182,0.00051844,-0.0011335,-7.65E-05,-0.060107,-0.20413,0.15638,-0.013856,-0.020096,-0.0017566,6
0.056866,-0.37266,-0.039263,0.00052211,-0.0011575,-7.62E-05,-0.060113,-0.20579,0.15654,-0.013812,-0.020064,-0.0017467,6
0.056866,-0.37413,-0.035406,0.00049848,-0.0011373,-7.63E-05,-0.060112,-0.20372,0.15872,-0.013762,-0.020059,-0.0017506,6
0.056866,-0.3733,-0.035039,0.00050421,-0.00098914,-7.65E-05,-0.060114,-0.20486,0.15623,-0.013413,-0.019994,-0.0017704,6
0.056868,-0.37536,-0.041579,0.0005243,-0.0011048,-7.62E-05,-0.060125,-0.20554,0.1578,-0.013631,-0.020014,-0.0017495,6
0.056867,-0.37537,-0.040285,0.00052454,-0.0011522,-7.64E-05,-0.060117,-0.20555,0.15862,-0.013901,-0.020099,-0.0017521,6
0.056866,-0.36632,-0.032299,0.00050865,-0.001007,-7.66E-05,-0.060111,-0.20233,0.15299,-0.013491,-0.02003,-0.0017748,6
